	index	name	perm	sar_00	sar_01	sar_02	sar_03	sar_04	sdr_00	sdr_01	sdr_02	sdr_03	sdr_04	sir_00	sir_01	sir_02	sir_03	sir_04
20	20	song021_all.wav	3 1 0 4 2	-19.105176032604017	-18.767864189302557	-20.041783816208888	-20.593909462216406	-19.566353160242045	-23.873400307346387	-23.87243465503177	-26.710701412209055	-28.84851920304167	-26.679494112930698	-2.952775745529672	-3.4439110555988854	-5.572975928494711	-7.513818162868659	-6.126633919421104
21	21	song022_all.wav	0 4 2 3 1	-20.848686174442808	-20.29757233805491	-20.22837956508994	-20.11282128241745	-17.168873908812728	-29.331801993703635	-28.43407958076815	-30.248169243774853	-24.514023155014456	-18.938695153025186	-7.783406532820887	-7.371974682146604	-9.523397649838012	-2.400638040860236	3.066187256487523
22	22	song023_all.wav	4 0 2 1 3	-14.089661963490112	-14.066452887173227	-12.663021003084085	-11.344842757988253	-10.516653865502668	-19.358669440199897	-25.316753996584804	-17.877512402020773	-16.192457687107016	-15.184858677627771	-3.5709677424838087	-10.744775239530089	-3.430255266866144	-2.816912717012603	-2.4854402093732895
23	23	song024_all.wav	4 1 0 2 3	-14.262925549670296	-19.587798541154203	-19.56593364501228	-18.189413868737812	-13.15535314830882	-18.93628193496259	-23.749969378108627	-30.078208533112697	-28.260856212088985	-13.83046968369985	-2.7029122027281547	-2.0138996967011056	-10.060330265145613	-9.556334747786252	7.9472199054276516
24	24	song025_all.wav	3 1 0 4 2	-13.825982328977844	-14.24630935041337	-18.392980293746437	-15.239203002503805	-14.557492989580716	-17.249676504286498	-18.604899595422392	-24.655496695147058	-24.14620191338023	-20.183956875998987	-0.6145005290628679	-2.215303480188421	-5.028437825544333	-8.181017947144479	-4.08786200879452
25	25	song026_all.wav	0 1 4 2 3	-2.2525014113594706	-11.251813052072595	-0.5635432216267953	-11.344689576866752	4.730972831379613	-11.094386150400421	-16.955277387925037	-3.1884925817043728	-13.705491794868683	4.6995154553692196	-6.205803020801486	-4.029085851595671	3.545915058844855	1.7210084468791678	27.37533513032801
26	26	song027_all.wav	3 1 0 4 2	-17.07702385280175	-16.543484649073108	-19.85793395811655	-19.276822409618294	-19.295391379792317	-19.82657627503794	-19.74068791381385	-28.100005728256843	-31.418278688189282	-26.86774853353996	0.6224620555212059	-0.2708872695618754	-7.492144110257193	-11.81677363339232	-6.6866958500688956
27	27	song028_all.wav	4 0 3 2 1	-17.999247072559758	-20.40775437008053	-17.424407857958485	-18.873064677850103	-18.385670123659903	-20.515900238561215	-24.773161555879042	-23.54176705065559	-31.237808385217726	-23.846832606313036	1.1189903526478828	-2.347067047750666	-4.821868562105623	-12.049258323028171	-3.9455181682029785
28	28	song029_all.wav	3 4 1 2 0	-12.51323398541415	-14.148978348905434	-12.952879839922103	-12.320282957307393	-14.764783207976247	-18.37214305346581	-14.939863049175218	-25.2766494224749	-26.503922118971094	-29.788151696114063	-4.317360345258471	7.159201711194227	-11.847037815368061	-13.767296593303374	-14.741963203514041
29	29	song030_all.wav	3 4 2 1 0	-22.077598674961436	-22.95853347483332	-22.68748498243813	-22.61369384299854	-22.973525914545302	-30.575285807658126	-24.315531944593474	-30.8430278420753	-36.577704872844556	-35.34559153767245	-7.809121295332889	4.377817331656559	-7.411493133040851	-13.7623547706304	-12.091120705514584
30	30	song031_all.wav	3 4 1 2 0	-18.4041055841768	-19.687235138273515	-17.999001916408105	-18.69061374786114	-20.232743603999044	-24.86711506647663	-26.591602113778414	-22.16749563019623	-25.654332036722764	-27.388315861352726	-5.289346909624568	-5.867245533394079	-2.003337330723315	-5.92978020670453	-6.185999438671806
31	31	song032_all.wav	3 2 1 0 4	-17.989814547108757	-17.483630898452038	-17.399291042751884	-19.452447187372673	-19.85766738566261	-24.709189107840643	-19.961907397078146	-27.13939663407876	-30.418611763816948	-27.797349416851183	-5.611529225086258	1.2152783456742444	-9.17433872279566	-10.554799694598444	-7.134177697172859
32	32	song033_all.wav	4 1 3 2 0	-19.267104789490613	-17.125500725105514	-17.709356188023946	-17.62537435840963	-17.686965262167064	-25.743885474592204	-19.113574918078694	-27.02678506962509	-26.23817399690727	-28.133898964366587	-5.318281714252508	2.4450053937192546	-8.703963046007141	-7.895333708719788	-9.962941267414854
33	33	song034_all.wav	3 1 0 4 2	-19.711005921255808	-20.3709784049329	-21.80162430120334	-22.85953619345806	-21.123494057539002	-23.940462090522374	-25.07728874332092	-27.3560968272216	-36.54948783158613	-33.406593235197796	-2.1238447153627735	-2.872887501841102	-4.109298572320182	-13.477750907158672	-11.98506807807651
34	34	song035_all.wav	1 0 2 3 4	-19.390535590271725	-20.463790325036122	-19.496074125113378	-19.05569077688496	-19.67104480802552	-25.70016846572924	-25.58765742721549	-25.610721990514826	-31.619891523970097	-22.6790880189254	-5.102780538800156	-3.490237648156531	-4.847661733102909	-12.262993887940318	0.05111059122859584
35	35	song036_all.wav	2 3 1 0 4	-20.949025603216246	-20.26397571211529	-21.704038762899472	-22.685798068041656	-21.154397707267695	-28.773620421192124	-23.414015805757632	-26.37912996893245	-33.58027797979927	-27.034678170150762	-7.006582762592007	-0.2344465357839644	-2.836072214297899	-10.502471892216501	-4.549928651049624
36	36	song037_all.wav	3 1 0 2 4	-22.005797723576425	-21.88194689856658	-23.12794997135269	-22.08957442584362	-22.294549067409115	-29.38954271342338	-25.90225726625469	-29.394523810454068	-27.66897723102128	-31.205562944646836	-6.480532927976542	-1.8008175279787606	-5.075093282279796	-4.14563389357323	-8.288164363629534
37	37	song038_all.wav	3 2 1 4 0	-11.481949664031275	-18.12562403004496	-17.373281549692194	-13.432135015356842	-16.10427643218914	-12.157883343085203	-23.057241820742732	-23.51920447797972	-23.248920236438625	-30.482969634407713	8.034710217596317	-3.182380495983045	-4.858721817147394	-9.14565966295159	-14.112054992042108
38	38	song039_all.wav	3 1 0 2 4	-21.563416547289307	-22.014311924119674	-23.234235488617287	-21.335570133047955	-21.7280621346957	-28.440146199678832	-25.221209282449166	-32.148084656843466	-30.442240864634556	-27.11313981088605	-5.848726924236374	-0.35745282544287554	-8.296373023214871	-8.505653290229597	-3.872280087690459
39	39	song040_all.wav	2 1 4 3 0	-21.262267977168502	-19.831937952337984	-21.599376407061023	-20.05719103314039	-22.059810310742236	-26.95152227391565	-24.06769598972955	-30.917405657127425	-26.53173559983501	-28.68729884143841	-4.291197227638664	-2.1352270928832278	-8.747674761890403	-5.323855913336908	-5.5359666941594865
